




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21836)	upload_1 (107)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cytosolic [4Fe-4S] assembly targeting complex (GO:0097361)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear inner membrane (GO:0005637)	51	0	.25	-	 < 0.01	1.00E00	1.00E00
cell-cell contact zone (GO:0044291)	92	0	.45	-	 < 0.01	1.00E00	1.00E00
inhibitory synapse (GO:0060077)	28	0	.14	-	 < 0.01	1.00E00	1.00E00
synapse-associated extracellular matrix (GO:0099535)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
MKS complex (GO:0036038)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
haptoglobin-hemoglobin complex (GO:0031838)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
TCR signalosome (GO:0036398)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA N6-methyladenosine methyltransferase complex (GO:0036396)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
tRNA-splicing ligase complex (GO:0072669)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-plasma kallikrein complex (GO:0036030)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
bBAF complex (GO:0140092)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrial crista junction (GO:0044284)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
subplasmalemmal coating (GO:0044280)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
TOR complex (GO:0038201)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
dendritic shaft (GO:0043198)	74	0	.36	-	 < 0.01	1.00E00	1.00E00
presynaptic cytosol (GO:0099523)	49	0	.24	-	 < 0.01	1.00E00	1.00E00
varicosity (GO:0043196)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
axon initial segment (GO:0043194)	31	0	.15	-	 < 0.01	1.00E00	1.00E00
meiotic spindle pole (GO:0090619)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
chitosome (GO:0045009)	22	0	.11	-	 < 0.01	1.00E00	1.00E00
outer mitochondrial membrane protein complex (GO:0098799)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
ATP-binding cassette (ABC) transporter complex (GO:0043190)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial protein-containing complex (GO:0098798)	173	0	.85	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-KLK3 complex (GO:0036029)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-thrombin complex (GO:0036028)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amino acid transport complex (GO:1990184)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-PLAU complex (GO:0036027)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-PLAT complex (GO:0036026)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-TMPRSS11E complex (GO:0036025)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pre-replicative complex (GO:0036387)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-TMPRSS7 complex (GO:0036024)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endolysosome membrane (GO:0036020)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
ripoptosome (GO:0097342)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
interstitial matrix (GO:0005614)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
H4/H2A histone acetyltransferase complex (GO:0043189)	28	0	.14	-	 < 0.01	1.00E00	1.00E00
laminin-5 complex (GO:0005610)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoside-diphosphate reductase complex (GO:0005971)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
neurofilament cytoskeleton (GO:0060053)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
P granule (GO:0043186)	26	0	.13	-	 < 0.01	1.00E00	1.00E00
histone pre-mRNA 3'end processing complex (GO:0071204)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
nBAF complex (GO:0071565)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
npBAF complex (GO:0071564)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
nucleus-vacuole junction (GO:0071561)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endolysosome (GO:0036019)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
peptidase inhibitor complex (GO:1904090)	23	0	.11	-	 < 0.01	1.00E00	1.00E00
myofilament (GO:0036379)	27	0	.13	-	 < 0.01	1.00E00	1.00E00
exosome (RNase complex) (GO:0000178)	22	0	.11	-	 < 0.01	1.00E00	1.00E00
cytoplasmic exosome (RNase complex) (GO:0000177)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
ciliary neurotrophic factor receptor complex (GO:0070110)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear exosome (RNase complex) (GO:0000176)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
ribonuclease MRP complex (GO:0000172)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
laminin-3 complex (GO:0005608)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-2 complex (GO:0005607)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-1 complex (GO:0005606)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
Rab-protein geranylgeranyltransferase complex (GO:0005968)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
protein farnesyltransferase complex (GO:0005965)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
complement component C1 complex (GO:0005602)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphorylase kinase complex (GO:0005964)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
glycine cleavage complex (GO:0005960)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
SAGA-type complex (GO:0070461)	37	0	.18	-	 < 0.01	1.00E00	1.00E00
protein phosphatase type 1 complex (GO:0000164)	19	0	.09	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase-DNA ligase 4 complex (GO:0005958)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
calcineurin complex (GO:0005955)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
calcium- and calmodulin-dependent protein kinase complex (GO:0005954)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
CAAX-protein geranylgeranyltransferase complex (GO:0005953)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
piP-body (GO:0071547)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
pi-body (GO:0071546)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex, eIF3m (GO:0071541)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
acrosomal lumen (GO:0043160)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex, eIF3e (GO:0071540)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin-coated endocytic vesicle (GO:0045334)	27	0	.13	-	 < 0.01	1.00E00	1.00E00
protein phosphatase type 2A complex (GO:0000159)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
VEGF-A complex (GO:1990150)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic ubiquitin ligase complex (GO:0000153)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
nuclear ubiquitin ligase complex (GO:0000152)	50	0	.25	-	 < 0.01	1.00E00	1.00E00
Weibel-Palade body (GO:0033093)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
phagolysosome membrane (GO:0061474)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
acetolactate synthase complex (GO:0005948)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NuA4 histone acetyltransferase complex (GO:0035267)	28	0	.14	-	 < 0.01	1.00E00	1.00E00
6-phosphofructokinase complex (GO:0005945)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class IB (GO:0005944)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
acrosomal matrix (GO:0043159)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class IA (GO:0005943)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex (GO:0005942)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
septin ring (GO:0005940)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
elongin complex (GO:0070449)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
interleukin-1 receptor complex (GO:0045323)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Mad-Max complex (GO:0070443)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alphaIIb-beta3 complex (GO:0070442)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
molybdopterin synthase complex (GO:1990140)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
exocyst (GO:0000145)	19	0	.09	-	 < 0.01	1.00E00	1.00E00
AP-5 adaptor complex (GO:0044599)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondria-associated endoplasmic reticulum membrane contact site (GO:0044233)	24	0	.12	-	 < 0.01	1.00E00	1.00E00
ciliary rootlet (GO:0035253)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
mitotic spindle microtubule (GO:1990498)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
Grb2-EGFR complex (GO:0070436)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Shc-EGFR complex (GO:0070435)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Golgi trans cisterna (GO:0000138)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Golgi cis cisterna (GO:0000137)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
Gtr1-Gtr2 GTPase complex (GO:1990131)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
GATOR1 complex (GO:1990130)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
apical pole of neuron (GO:0044225)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
juxtaparanode region of axon (GO:0044224)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class I (GO:0097651)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
muscle tendon junction (GO:0005927)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
bicellular tight junction (GO:0005923)	147	0	.72	-	 < 0.01	1.00E00	1.00E00
connexin complex (GO:0005922)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
gap junction (GO:0005921)	32	0	.16	-	 < 0.01	1.00E00	1.00E00
phosphopantothenoylcysteine decarboxylase complex (GO:0071513)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIIC complex (GO:0000127)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
A axonemal microtubule (GO:0097649)	47	0	.23	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIIB complex (GO:0000126)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor complex (GO:0097648)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
other organism cell membrane (GO:0044218)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
SAGA complex (GO:0000124)	24	0	.12	-	 < 0.01	1.00E00	1.00E00
Rad51C-XRCC3 complex (GO:0033065)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
other organism part (GO:0044217)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase complex (GO:0000123)	88	0	.43	-	 < 0.01	1.00E00	1.00E00
Rad51B-Rad51C-Rad51D-XRCC2 complex (GO:0033063)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I transcription regulator complex (GO:0000120)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA recombinase mediator complex (GO:0033061)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
septate junction (GO:0005918)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
fascia adherens (GO:0005916)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
zonula adherens (GO:0005915)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
spot adherens junction (GO:0005914)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
adherens junction (GO:0005912)	176	0	.86	-	 < 0.01	1.00E00	1.00E00
nonhomologous end joining complex (GO:0070419)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase complex (GO:0070418)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
skeletal muscle myofibril (GO:0098723)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MOZ/MORF histone acetyltransferase complex (GO:0070776)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
RQC complex (GO:1990112)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
H3 histone acetyltransferase complex (GO:0070775)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
spermatoproteasome complex (GO:1990111)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
PAS complex (GO:0070772)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
translation initiation ternary complex (GO:0044207)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 3 complex (GO:0000112)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 2 complex (GO:0000111)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 1 complex (GO:0000110)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of phagophore assembly site membrane (GO:0097632)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
F-actin capping protein complex (GO:0008290)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
chromatin lock complex (GO:0061793)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
brush border (GO:0005903)	150	0	.74	-	 < 0.01	1.00E00	1.00E00
microvillus (GO:0005902)	121	0	.59	-	 < 0.01	1.00E00	1.00E00
oncostatin-M receptor complex (GO:0005900)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor inner segment membrane (GO:0060342)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair complex (GO:0000109)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
gamma-secretase complex (GO:0070765)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
interleukin-12 receptor complex (GO:0042022)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of omegasome membrane (GO:0097629)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
KICSTOR complex (GO:0140007)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine phosphatase complex (GO:0008287)	53	0	.26	-	 < 0.01	1.00E00	1.00E00
omegasome (GO:1990462)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
paraspeckles (GO:0042382)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
nuclear pore transmembrane ring (GO:0070762)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pre-snoRNP complex (GO:0070761)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
inward rectifying potassium channel (GO:0008282)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatase complex (GO:1903293)	53	0	.26	-	 < 0.01	1.00E00	1.00E00
specific granule membrane (GO:0035579)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
azurophil granule lumen (GO:0035578)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
azurophil granule membrane (GO:0035577)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
endopeptidase Clp complex (GO:0009368)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
succinate-CoA ligase complex (ADP-forming) (GO:0009361)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA polymerase III complex (GO:0009360)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-type voltage-gated calcium channel complex (GO:1990454)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
cohesin complex (GO:0008278)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Parkin-FBXW7-Cul1 ubiquitin ligase complex (GO:1990452)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
Tapasin-ERp57 complex (GO:0061779)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
NSL complex (GO:0044545)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
eNoSc complex (GO:0061773)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
chromatoid body (GO:0033391)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
radial spoke stalk (GO:0001536)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
radial spoke head (GO:0001535)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
radial spoke (GO:0001534)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
cornified envelope (GO:0001533)	66	0	.32	-	 < 0.01	1.00E00	1.00E00
phagocytic cup (GO:0001891)	30	0	.15	-	 < 0.01	1.00E00	1.00E00
interleukin-23 complex (GO:0070743)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
THO complex part of transcription export complex (GO:0000445)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
MIS12/MIND type complex (GO:0000444)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
proteasome core complex, beta-subunit complex (GO:0019774)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
proteasome core complex, alpha-subunit complex (GO:0019773)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
ribonuclease H2 complex (GO:0032299)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
supraspliceosomal complex (GO:0044530)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
microfibril (GO:0001527)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
FANCM-MHF complex (GO:0071821)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
chromaffin granule lumen (GO:0034466)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
BBSome (GO:0034464)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
outer dense fiber (GO:0001520)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
upper tip-link density (GO:1990435)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor cell terminal bouton (GO:1990796)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIH core complex (GO:0000439)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
rod bipolar cell terminal bouton (GO:1990795)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sarcoplasmic reticulum lumen (GO:0033018)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
core TFIIH complex portion of holo TFIIH complex (GO:0000438)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
basolateral part of cell (GO:1990794)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
condensin complex (GO:0000796)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
perinuclear theca (GO:0033011)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
oligosaccharyltransferase complex (GO:0008250)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
paranodal junction (GO:0033010)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
heterochromatin (GO:0000792)	100	0	.49	-	 < 0.01	1.00E00	1.00E00
euchromatin (GO:0000791)	72	0	.35	-	 < 0.01	1.00E00	1.00E00
DUBm complex (GO:0071819)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
BAT3 complex (GO:0071818)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
MMXD complex (GO:0071817)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
voltage-gated sodium channel complex (GO:0001518)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
symmetric synapse (GO:0032280)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
sulfate adenylyltransferase complex (ATP) (GO:0009336)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Mpp10 complex (GO:0034457)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
UTP-C complex (GO:0034456)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
peroxisomal importomer complex (GO:1990429)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
t-UTP complex (GO:0034455)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
stereocilia tip-link density (GO:1990427)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex (GO:0009330)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GLI-SUFU complex (GO:1990788)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
ryanodine receptor complex (GO:1990425)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
centriolar satellite (GO:0034451)	125	0	.61	-	 < 0.01	1.00E00	1.00E00
RZZ complex (GO:1990423)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA-directed RNA polymerase complex (GO:0000428)	96	0	.47	-	 < 0.01	1.00E00	1.00E00
1-alkyl-2-acetylglycerophosphocholine esterase complex (GO:0008247)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
BMP receptor complex (GO:0070724)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
ISGF3 complex (GO:0070721)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleosome (GO:0000786)	104	0	.51	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of dendritic spine plasma membrane (GO:1990780)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cone photoreceptor outer segment (GO:0120199)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Fc-gamma receptor III complex (GO:0033001)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear telomere cap complex (GO:0000783)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
telomere cap complex (GO:0000782)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
chromosome, telomeric region (GO:0000781)	130	0	.64	-	 < 0.01	1.00E00	1.00E00
chaperone-mediated autophagy translocation complex (GO:0061742)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phenylalanine-tRNA ligase complex (GO:0009328)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
glycoprotein Ib-IX-V complex (GO:1990779)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle (GO:1990777)	41	0	.20	-	 < 0.01	1.00E00	1.00E00
HIR complex (GO:0000417)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
condensed chromosome, centromeric region (GO:0000779)	184	0	.90	-	 < 0.01	1.00E00	1.00E00
kinetochore (GO:0000776)	172	0	.84	-	 < 0.01	1.00E00	1.00E00
chromosome, centromeric region (GO:0000775)	256	0	1.25	-	 < 0.01	6.40E-01	1.00E00
ATAC complex (GO:0140672)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor receptor superfamily complex (GO:0002947)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
NF-kappaB p50/p65 complex (GO:0035525)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin K-CDK13 complex (GO:0002945)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin K-CDK12 complex (GO:0002944)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Cajal body (GO:0015030)	56	0	.27	-	 < 0.01	1.00E00	1.00E00
proximal neuron projection (GO:1990769)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
CGRP receptor complex (GO:1990406)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
EKC/KEOPS complex (GO:0000408)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
outer mucus layer (GO:0070703)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inner mucus layer (GO:0070702)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
growth cone lamellipodium (GO:1990761)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
mucus layer (GO:0070701)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
PR-DUB complex (GO:0035517)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
autophagosome lumen (GO:0034423)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ciliary transition zone (GO:0035869)	80	0	.39	-	 < 0.01	1.00E00	1.00E00
unconventional myosin complex (GO:0016461)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-HMGB1 complex (GO:0035868)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin II complex (GO:0016460)	25	0	.12	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-IGF-1-IGF1R complex (GO:0035867)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-PKCalpha complex (GO:0035866)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid tube (GO:0060987)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyltransferase complex (GO:1902493)	104	0	.51	-	 < 0.01	1.00E00	1.00E00
site of double-strand break (GO:0035861)	98	0	.48	-	 < 0.01	1.00E00	1.00E00
recycling endosome lumen (GO:0034777)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
secretory granule lumen (GO:0034774)	22	0	.11	-	 < 0.01	1.00E00	1.00E00
EARP complex (GO:1990745)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
myosin complex (GO:0016459)	55	0	.27	-	 < 0.01	1.00E00	1.00E00
PAR polarity complex (GO:0120157)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
canonical inflammasome complex (GO:0061702)	22	0	.11	-	 < 0.01	1.00E00	1.00E00
mitochondrial crista (GO:0030061)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
GATOR2 complex (GO:0061700)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
Seh1-associated complex (GO:0035859)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
insulin-responsive compartment (GO:0032593)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
dendritic spine membrane (GO:0032591)	19	0	.09	-	 < 0.01	1.00E00	1.00E00
RQC-trigger complex (GO:0180022)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
VCP-NSFL1C complex (GO:1990730)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
desmosome (GO:0030057)	32	0	.16	-	 < 0.01	1.00E00	1.00E00
hemidesmosome (GO:0030056)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
RISC complex (GO:0016442)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
cerebellar Golgi cell to granule cell synapse (GO:0099192)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Knl1/Spc105 complex (GO:0180019)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
growth cone membrane (GO:0032584)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
Unclassified (UNCLASSIFIED)	1069	0	5.24	-	 < 0.01	1.07E-02	4.35E-01
new growing cell tip (GO:0035841)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Golgi cisterna membrane (GO:0032580)	72	0	.35	-	 < 0.01	1.00E00	1.00E00
TTT Hsp90 cochaperone complex (GO:0110078)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
TRAMP complex (GO:0031499)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
mitotic spindle assembly checkpoint MAD1-MAD2 complex (GO:1990728)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear aryl hydrocarbon receptor complex (GO:0034753)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
