




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21836)	upload_1 (364)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
peroxisomal membrane transport (GO:0015919)	22	0	.37	-	 < 0.01	1.00E00	1.00E00
aminophospholipid transport (GO:0015917)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
sister chromatid biorientation (GO:0031134)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
fatty-acyl-CoA transport (GO:0015916)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of axon diameter (GO:0031133)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
short-chain fatty acid transmembrane transport (GO:0015913)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
short-chain fatty acid transport (GO:0015912)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid import across plasma membrane (GO:0015911)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid import into peroxisome (GO:0015910)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of L-lysine import across plasma membrane (GO:1905008)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905007)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905006)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905005)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
protein lipoylation (GO:0009249)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of membrane repolarization during atrial cardiac muscle cell action potential (GO:1905000)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
isopentenyl diphosphate biosynthetic process (GO:0009240)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
inductive cell-cell signaling (GO:0031129)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid transport (GO:0015909)	54	0	.90	-	 < 0.01	1.00E00	1.00E00
sno(s)RNA 3'-end processing (GO:0031126)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
fatty acid transport (GO:0015908)	93	0	1.55	-	 < 0.01	4.11E-01	1.00E00
mRNA 3'-end processing (GO:0031124)	35	0	.58	-	 < 0.01	1.00E00	1.00E00
snRNA pseudouridine synthesis (GO:0031120)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
siderophore metabolic process (GO:0009237)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cobalamin metabolic process (GO:0009235)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
menaquinone biosynthetic process (GO:0009234)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
menaquinone metabolic process (GO:0009233)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
riboflavin biosynthetic process (GO:0009231)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA pseudouridine synthesis (GO:0031119)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
rRNA pseudouridine synthesis (GO:0031118)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
positive regulation of microtubule polymerization (GO:0031116)	33	0	.55	-	 < 0.01	1.00E00	1.00E00
negative regulation of microtubule polymerization (GO:0031115)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
regulation of microtubule polymerization (GO:0031113)	58	0	.97	-	 < 0.01	1.00E00	1.00E00
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	51	0	.85	-	 < 0.01	1.00E00	1.00E00
thiamine diphosphate biosynthetic process (GO:0009229)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar catabolic process (GO:0009227)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar biosynthetic process (GO:0009226)	29	0	.48	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar metabolic process (GO:0009225)	44	0	.73	-	 < 0.01	1.00E00	1.00E00
CMP biosynthetic process (GO:0009224)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleotide catabolic process (GO:0009223)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleotide catabolic process (GO:0009222)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleotide biosynthetic process (GO:0009221)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	23	0	.38	-	 < 0.01	1.00E00	1.00E00
microtubule polymerization or depolymerization (GO:0031109)	68	0	1.13	-	 < 0.01	6.32E-01	1.00E00
septin ring organization (GO:0031106)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
dendrite regeneration (GO:0031104)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleotide metabolic process (GO:0009219)	22	0	.37	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleotide metabolic process (GO:0009218)	32	0	.53	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleoside triphosphate catabolic process (GO:0009217)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleoside triphosphate biosynthetic process (GO:0009216)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleoside triphosphate metabolic process (GO:0009215)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside triphosphate catabolic process (GO:0009213)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside triphosphate biosynthetic process (GO:0009212)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside triphosphate metabolic process (GO:0009211)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside triphosphate catabolic process (GO:0009210)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
follicle-stimulating hormone signaling pathway (GO:0042699)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
ovulation cycle (GO:0042698)	81	0	1.35	-	 < 0.01	6.48E-01	1.00E00
menopause (GO:0042697)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
thelarche (GO:0042695)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
muscle cell fate specification (GO:0042694)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
muscle cell fate commitment (GO:0042693)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside triphosphate biosynthetic process (GO:0009209)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside triphosphate metabolic process (GO:0009208)	16	0	.27	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside triphosphate catabolic process (GO:0009207)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of connective tissue replacement involved in inflammatory response wound healing (GO:1904597)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of connective tissue replacement involved in inflammatory response wound healing (GO:1904596)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside triphosphate catabolic process (GO:0009204)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of termination of RNA polymerase II transcription (GO:1904595)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of termination of RNA polymerase II transcription (GO:1904594)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
ribonucleoside triphosphate catabolic process (GO:0009203)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside triphosphate biosynthetic process (GO:0009202)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein refolding (GO:1904592)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside triphosphate metabolic process (GO:0009200)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein import (GO:1904591)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of protein import (GO:1904589)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
cellular response to glycoprotein (GO:1904588)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
response to glycoprotein (GO:1904587)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
cellular response to putrescine (GO:1904586)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to putrescine (GO:1904585)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to polyamine macromolecule (GO:1904584)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to polyamine macromolecule (GO:1904583)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of intracellular mRNA localization (GO:1904582)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of intracellular mRNA localization (GO:1904580)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
retinal cone cell differentiation (GO:0042670)	16	0	.27	-	 < 0.01	1.00E00	1.00E00
positive regulation of selenocysteine incorporation (GO:1904571)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of selenocysteine incorporation (GO:1904570)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of inner ear auditory receptor cell fate specification (GO:0042669)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
auditory receptor cell fate determination (GO:0042668)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
auditory receptor cell fate specification (GO:0042667)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of ectodermal cell fate specification (GO:0042666)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of ectodermal cell fate specification (GO:0042665)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of endodermal cell fate specification (GO:0042664)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of endodermal cell fate specification (GO:0042663)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of mesodermal cell fate specification (GO:0042662)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of mesodermal cell fate specification (GO:0042661)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell fate specification (GO:0042660)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of selenocysteine incorporation (GO:1904569)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
cellular response to wortmannin (GO:1904568)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
response to wortmannin (GO:1904567)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
cellular response to 1-oleoyl-sn-glycerol 3-phosphate (GO:1904566)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
platelet activating factor catabolic process (GO:0062234)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
response to 1-oleoyl-sn-glycerol 3-phosphate (GO:1904565)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
prostanoid catabolic process (GO:0062232)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 5-phosphate metabolic process (GO:1904562)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cell fate specification (GO:0042659)	25	0	.42	-	 < 0.01	1.00E00	1.00E00
symbiont-mediated perturbation of host defenses (GO:0030682)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
L-alanine transmembrane transport (GO:1904557)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
L-tryptophan transmembrane transport (GO:1904556)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
L-proline transmembrane transport (GO:1904555)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to arachidonate (GO:1904551)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
response to arachidonate (GO:1904550)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of oocyte maturation (GO:1900195)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of oocyte maturation (GO:1900194)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
membrane bending (GO:0097753)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of DNA stability (GO:0097752)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of oocyte maturation (GO:1900193)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
endosome membrane tubulation (GO:0097750)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of single-species biofilm formation (GO:1900191)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of single-species biofilm formation (GO:1900190)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
anagen (GO:0042640)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
positive regulation of free ubiquitin chain polymerization (GO:1904544)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of free ubiquitin chain polymerization (GO:1904542)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
membrane tubulation (GO:0097749)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of glycolytic process through fructose-6-phosphate (GO:1904540)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial tRNA 5'-end processing (GO:0097745)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
renal urate salt excretion (GO:0097744)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of hair cycle (GO:0042636)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
de novo centriole assembly (GO:0097742)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to nucleus (GO:1900181)	45	0	.75	-	 < 0.01	1.00E00	1.00E00
cellular response to water deprivation (GO:0042631)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of glycolytic process through fructose-6-phosphate (GO:1904539)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of glycolytic process through fructose-6-phosphate (GO:1904538)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of telomeric loop disassembly (GO:1904535)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomeric loop disassembly (GO:1904534)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of telomeric loop disassembly (GO:1904533)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of actin filament binding (GO:1904531)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mating plug formation (GO:0042628)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
extracellular exosome biogenesis (GO:0097734)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of glucocorticoid mediated signaling pathway (GO:1900170)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of vitamin metabolic process (GO:0030656)	19	0	.32	-	 < 0.01	1.00E00	1.00E00
beta-lactam antibiotic metabolic process (GO:0030653)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of actin filament binding (GO:1904529)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of microtubule binding (GO:1904528)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of microtubule binding (GO:1904527)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of microtubule binding (GO:1904526)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of myofibroblast cell apoptotic process (GO:1904520)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of glucocorticoid mediated signaling pathway (GO:1900169)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of glial cell-derived neurotrophic factor production (GO:1900168)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of glial cell-derived neurotrophic factor production (GO:1900166)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of phospholipid scramblase activity (GO:1900163)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
calcineurin-mediated signaling (GO:0097720)	27	0	.45	-	 < 0.01	1.00E00	1.00E00
regulation of phospholipid scramblase activity (GO:1900161)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
aminoglycoside antibiotic metabolic process (GO:0030647)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
intracellular phosphate ion homeostasis (GO:0030643)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
protein localization to cytoplasmic microtubule plus-end (GO:1904518)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of TORC2 signaling (GO:1904515)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
neural tissue regeneration (GO:0097719)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to basolateral plasma membrane (GO:1904510)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of bone mineralization involved in bone maturation (GO:1900159)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of bone mineralization involved in bone maturation (GO:1900158)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of bone mineralization involved in bone maturation (GO:1900157)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of bone trabecula formation (GO:1900155)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of bone trabecula formation (GO:1900154)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900152)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
ciliary basal body-plasma membrane docking (GO:0097711)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)	24	0	.40	-	 < 0.01	1.00E00	1.00E00
regulation of defense response to fungus (GO:1900150)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
polyketide metabolic process (GO:0030638)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to basolateral plasma membrane (GO:1904508)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of telomere maintenance in response to DNA damage (GO:1904507)	14	0	.23	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomere maintenance in response to DNA damage (GO:1904506)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of telomere maintenance in response to DNA damage (GO:1904505)	19	0	.32	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipophagy (GO:1904504)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of lipophagy (GO:1904502)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
connective tissue replacement (GO:0097709)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of Schwann cell migration (GO:1900149)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of Schwann cell migration (GO:1900148)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
ferroptosis (GO:0097707)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of Schwann cell migration (GO:1900147)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of oligodendrocyte apoptotic process (GO:1900143)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of oligodendrocyte apoptotic process (GO:1900142)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of oligodendrocyte apoptotic process (GO:1900141)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of arachidonate secretion (GO:1900139)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of phospholipase A2 activity (GO:1900138)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
meiotic chromosome movement towards spindle pole (GO:0016344)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of renin secretion into blood stream (GO:1900135)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of renin secretion into blood stream (GO:1900134)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of renin secretion into blood stream (GO:1900133)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
calcium-dependent cell-matrix adhesion (GO:0016340)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipid binding (GO:1900131)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of lipid binding (GO:1900130)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339)	36	0	.60	-	 < 0.01	1.00E00	1.00E00
regulation of G-protein activated inward rectifier potassium channel activity (GO:1900128)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of polarity of follicular epithelium (GO:0016334)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of hyaluronan biosynthetic process (GO:1900127)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of hyaluronan biosynthetic process (GO:1900126)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
morphogenesis of follicular epithelium (GO:0016333)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of polarity of embryonic epithelium (GO:0016332)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of hyaluronan biosynthetic process (GO:1900125)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
negative regulation of nodal receptor complex assembly (GO:1900124)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of nodal receptor complex assembly (GO:1900123)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of receptor binding (GO:1900122)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of receptor binding (GO:1900121)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of receptor binding (GO:1900120)	21	0	.35	-	 < 0.01	1.00E00	1.00E00
positive regulation of execution phase of apoptosis (GO:1900119)	19	0	.32	-	 < 0.01	1.00E00	1.00E00
negative regulation of execution phase of apoptosis (GO:1900118)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of execution phase of apoptosis (GO:1900117)	25	0	.42	-	 < 0.01	1.00E00	1.00E00
female meiosis chromosome segregation (GO:0016321)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
xenobiotic transport across blood-nerve barrier (GO:0061772)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to caloric restriction (GO:0061771)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum membrane fusion (GO:0016320)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrion transport along microtubule (GO:0047497)	25	0	.42	-	 < 0.01	1.00E00	1.00E00
negative regulation of lung blood pressure (GO:0061767)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of nodal signaling pathway (GO:1900108)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of nodal signaling pathway (GO:1900107)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
late endosome to lysosome transport via multivesicular body sorting pathway (GO:0061764)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of hyaluranon cable assembly (GO:1900106)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
multivesicular body-lysosome fusion (GO:0061763)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of hyaluranon cable assembly (GO:1900104)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of endoplasmic reticulum unfolded protein response (GO:1900103)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
antifungal innate immune response (GO:0061760)	17	0	.28	-	 < 0.01	1.00E00	1.00E00
negative regulation of endoplasmic reticulum unfolded protein response (GO:1900102)	19	0	.32	-	 < 0.01	1.00E00	1.00E00
regulation of endoplasmic reticulum unfolded protein response (GO:1900101)	31	0	.52	-	 < 0.01	1.00E00	1.00E00
positive regulation of plasma cell differentiation (GO:1900100)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
low-density lipoprotein particle mediated signaling (GO:0055096)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle mediated signaling (GO:0055095)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
response to hyperoxia (GO:0055093)	19	0	.32	-	 < 0.01	1.00E00	1.00E00
acylglycerol homeostasis (GO:0055090)	42	0	.70	-	 < 0.01	1.00E00	1.00E00
leukocyte adhesion to arterial endothelial cell (GO:0061757)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
leukocyte adhesion to vascular endothelial cell (GO:0061756)	25	0	.42	-	 < 0.01	1.00E00	1.00E00
positive regulation of circulating fibrinogen levels (GO:0061755)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
substrate localization to autophagosome (GO:0061753)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle contraction by action potential (GO:0100001)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
motor behavior (GO:0061744)	38	0	.63	-	 < 0.01	1.00E00	1.00E00
motor learning (GO:0061743)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
protein targeting to lysosome involved in chaperone-mediated autophagy (GO:0061740)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
manganese ion homeostasis (GO:0055071)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
carnosine biosynthetic process (GO:0035499)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
carnosine metabolic process (GO:0035498)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
protein lipidation involved in autophagosome assembly (GO:0061739)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
late endosomal microautophagy (GO:0061738)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
SNARE complex disassembly (GO:0035494)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
SNARE complex assembly (GO:0035493)	14	0	.23	-	 < 0.01	1.00E00	1.00E00
engulfment of target by autophagosome (GO:0061736)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of leukotriene production involved in inflammatory response (GO:0035491)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
type 2 mitophagy (GO:0061734)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of leukotriene production involved in inflammatory response (GO:0035490)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphate ion homeostasis (GO:0055062)	23	0	.38	-	 < 0.01	1.00E00	1.00E00
purine nucleobase salvage (GO:0043096)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular metabolic compound salvage (GO:0043094)	42	0	.70	-	 < 0.01	1.00E00	1.00E00
GDP-mannose biosynthetic process from fructose-6-phosphate (GO:0061729)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
GDP-mannose biosynthetic process from mannose (GO:0061728)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
methylglyoxal catabolic process to lactate (GO:0061727)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
gastric emptying (GO:0035483)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
gastric motility (GO:0035482)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
cytosolic lipolysis (GO:0061725)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
amino acid import (GO:0043090)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
lipophagy (GO:0061724)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
glycophagy (GO:0061723)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
asymmetric neuroblast division (GO:0055059)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
neuroblast division (GO:0055057)	16	0	.27	-	 < 0.01	1.00E00	1.00E00
angioblast cell migration (GO:0035476)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
penile erection (GO:0043084)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
