




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Mus musculus - REFLIST (21836)	upload_1 (1411)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
IgG receptor activity (GO:0019770)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
olfactory receptor binding (GO:0031849)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity (GO:0000703)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
type 2 neuromedin U receptor binding (GO:0031840)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
oxidized base lesion DNA N-glycosylase activity (GO:0000702)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
low-affinity IgE receptor activity (GO:0019769)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
high-affinity IgE receptor activity (GO:0019768)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
IgE receptor activity (GO:0019767)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
immunoglobulin receptor activity (GO:0019763)	10	0	.65	-	 < 0.01	1.00E00	1.00E00
5-methylcytosine dioxygenase activity (GO:0070579)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
vitamin D 24-hydroxylase activity (GO:0070576)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
metallodipeptidase activity (GO:0070573)	9	0	.58	-	 < 0.01	1.00E00	1.00E00
type 1 neuromedin U receptor binding (GO:0031839)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
pseudouridine synthase activity (GO:0009982)	13	0	.84	-	 < 0.01	1.00E00	1.00E00
uridylyltransferase activity (GO:0070569)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
guanylyltransferase activity (GO:0070568)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
adenylyltransferase activity (GO:0070566)	37	0	2.39	-	 < 0.01	1.72E-01	1.00E00
enterobactin binding (GO:1903981)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
cyclase activity (GO:0009975)	24	0	1.55	-	 < 0.01	4.01E-01	1.00E00
type 2A serotonin receptor binding (GO:0031826)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
purine-specific nucleoside:sodium symporter activity (GO:0015390)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
nicotinic acid receptor activity (GO:0070553)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
endoribonuclease activity, cleaving siRNA-paired mRNA (GO:0070551)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
sodium:proton antiporter activity (GO:0015385)	14	0	.90	-	 < 0.01	1.00E00	1.00E00
sulfate:bicarbonate antiporter activity (GO:0015383)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
sodium:sulfate symporter activity (GO:0015382)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
P2Y1 nucleotide receptor binding (GO:0031812)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
G protein-coupled nucleotide receptor binding (GO:0031811)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
quaternary ammonium group binding (GO:0050997)	40	0	2.58	-	 < 0.01	1.11E-01	1.00E00
L-glutamine aminotransferase activity (GO:0070548)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
stearic acid binding (GO:0070540)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
glycine:sodium symporter activity (GO:0015375)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
neutral, basic amino acid:sodium:chloride symporter activity (GO:0015374)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
galactose:sodium symporter activity (GO:0015371)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
type 3 metabotropic glutamate receptor binding (GO:0031800)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
linoleic acid binding (GO:0070539)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
calcium:proton antiporter activity (GO:0015369)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
oxoglutarate:malate antiporter activity (GO:0015367)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
K63-linked polyubiquitin modification-dependent protein binding (GO:0070530)	25	0	1.62	-	 < 0.01	4.05E-01	1.00E00
high-affinity sodium:dicarboxylate symporter activity (GO:0015362)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
virus coreceptor activity (GO:0120274)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
11-beta-hydroxysteroid dehydrogenase (NADP+) activity (GO:0070524)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
methotrexate transmembrane transporter activity (GO:0015350)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-myristoyltransferase activity (GO:0019705)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
fatty acid elongase activity (GO:0009922)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle receptor activity (GO:0070506)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
estradiol binding (GO:1903924)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
high-affinity oligopeptide transmembrane transporter activity (GO:0015334)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
peptide:proton symporter activity (GO:0015333)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
sulfur carrier activity (GO:0097163)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
MADS box domain binding (GO:0097162)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
DH domain binding (GO:0097161)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
polychlorinated biphenyl binding (GO:0097160)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
2-iminopropanoate deaminase activity (GO:0120243)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
2-iminobutanoate deaminase activity (GO:0120242)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
2-iminobutanoate/2-iminopropanoate deaminase (GO:0120241)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
cystine:glutamate antiporter activity (GO:0015327)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
recombinase activator activity (GO:0120230)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphate:proton symporter activity (GO:0015317)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I general transcription initiation factor activity (GO:0001181)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
organophosphate:phosphate antiporter activity (GO:0015315)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
polyamine:proton antiporter activity (GO:0015312)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
monoamine:proton antiporter activity (GO:0015311)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
deoxyribonuclease inhibitor activity (GO:0060703)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
D-mannose binding (GO:0005537)	33	0	2.13	-	 < 0.01	2.72E-01	1.00E00
D-glucose binding (GO:0005536)	14	0	.90	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I general transcription initiation factor binding (GO:0001179)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
D-glucose uniporter activity (GO:0015304)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
chondroitin 2-O-sulfotransferase activity (GO:0034482)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine phospholipase C activity (GO:0034480)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I cis-regulatory region sequence-specific DNA binding (GO:0001165)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I core promoter sequence-specific DNA binding (GO:0001164)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
leptomycin B binding (GO:1901707)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding (GO:0001162)	10	0	.65	-	 < 0.01	1.00E00	1.00E00
intronic transcription regulatory region sequence-specific DNA binding (GO:0001161)	14	0	.90	-	 < 0.01	1.00E00	1.00E00
cytoskeletal regulatory protein binding (GO:0005519)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
double-stranded RNA-specific ribonuclease activity (GO:0032296)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
TFIIIC-class transcription factor complex binding (GO:0001156)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
TFIIIA-class transcription factor binding (GO:0001155)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
all-trans retinal binding (GO:0005503)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
transcription termination site sequence-specific DNA binding (GO:0001147)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
neuroligin family protein binding (GO:0097109)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
ubiquitin-ubiquitin ligase activity (GO:0034450)	14	0	.90	-	 < 0.01	1.00E00	1.00E00
ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity (GO:0046404)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
polynucleotide 3'-phosphatase activity (GO:0046403)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
ATPase inhibitor activity (GO:0042030)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
interleukin-23 receptor activity (GO:0042020)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
L-malate dehydrogenase (NAD+) activity (GO:0030060)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration (GO:0098872)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-23 binding (GO:0042019)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
interleukin-22 receptor activity (GO:0042018)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
interleukin-22 binding (GO:0042017)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-20 binding (GO:0042015)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
bisphosphoglycerate 3-phosphatase activity (GO:0034417)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-16 receptor activity (GO:0042012)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-16 binding (GO:0042011)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-15 receptor activity (GO:0042010)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
aliphatic amine dehydrogenase activity (GO:0030058)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
palmitoleyl hydrolase activity (GO:1990699)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
palmitoleoyltransferase activity (GO:1990698)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-18 receptor activity (GO:0042008)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
interleukin-18 binding (GO:0042007)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
tRNA guanylyltransferase activity (GO:0008193)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
RNA guanylyltransferase activity (GO:0008192)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
glucosaminyl-phosphatidylinositol O-acyltransferase activity (GO:0032216)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H4 acetyltransferase activity (GO:0010485)	34	0	2.20	-	 < 0.01	1.68E-01	1.00E00
histone H3 acetyltransferase activity (GO:0010484)	28	0	1.81	-	 < 0.01	2.57E-01	1.00E00
glycogen phosphorylase activity (GO:0008184)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
glycine oxidase activity (GO:0043799)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA N-acetyltransferase activity (GO:0051392)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
glyceraldehyde oxidoreductase activity (GO:0043795)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase binding (GO:0008179)	16	0	1.03	-	 < 0.01	6.20E-01	1.00E00
succinate dehydrogenase (quinone) activity (GO:0008177)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(46)-N7)-methyltransferase activity (GO:0008176)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA methyltransferase activity (GO:0008175)	32	0	2.07	-	 < 0.01	2.67E-01	1.00E00
histamine binding (GO:0051381)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
norepinephrine binding (GO:0051380)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
C-methyltransferase activity (GO:0008169)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
nerve growth factor receptor activity (GO:0010465)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
protein tyrosine phosphatase activator activity (GO:0008160)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
epinephrine binding (GO:0051379)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
mannose-ethanolamine phosphotransferase activity (GO:0051377)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
FATZ binding (GO:0051373)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
hedgehog receptor activity (GO:0008158)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase activity (GO:0033989)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
D-dopachrome decarboxylase activity (GO:0033981)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
mRNA cap binding (GO:0098808)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
cAMP response element binding protein binding (GO:0008140)	10	0	.65	-	 < 0.01	1.00E00	1.00E00
ErbB-4 class receptor binding (GO:1990631)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
2-methylbutanoate-CoA ligase activity (GO:0043759)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
dihydrolipoyllysine-residue (2-methylpropanoyl)transferase activity (GO:0043754)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
9,10 (9', 10')-carotenoid-cleaving dioxygenase activity (GO:0010437)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
carotenoid dioxygenase activity (GO:0010436)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
type 2 metabotropic glutamate receptor binding (GO:0031799)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
type 1 metabotropic glutamate receptor binding (GO:0031798)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
hydroxyisourate hydrolase activity (GO:0033971)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
primary methylamine oxidase activity (GO:0008131)	14	0	.90	-	 < 0.01	1.00E00	1.00E00
methyl-CpNpG binding (GO:0010428)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
quercetin 2,3-dioxygenase activity (GO:0008127)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
cholesterol-5,6-oxide hydrolase activity (GO:0033963)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
4-alpha-hydroxytetrahydrobiopterin dehydratase activity (GO:0008124)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
3,4-dihydroxy-5-polyprenylbenzoic acid O-methyltransferase activity (GO:0010420)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
G protein-coupled acetylcholine receptor binding (GO:0031789)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
cholesterol 7-alpha-monooxygenase activity (GO:0008123)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
cis-stilbene-oxide hydrolase activity (GO:0033961)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
ubiquinol-cytochrome-c reductase activity (GO:0008121)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
ceramide glucosyltransferase activity (GO:0008120)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
type 5 melanocortin receptor binding (GO:0031783)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
type 4 melanocortin receptor binding (GO:0031782)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
type 3 melanocortin receptor binding (GO:0031781)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
corticotropin hormone receptor binding (GO:0031780)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
G/U mismatch-specific uracil-DNA glycosylase activity (GO:0043739)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
thiopurine S-methyltransferase activity (GO:0008119)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
chenodeoxycholic acid binding (GO:1902122)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
lithocholic acid binding (GO:1902121)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
sphinganine-1-phosphate aldolase activity (GO:0008117)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
prostaglandin-I synthase activity (GO:0008116)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
sarcosine oxidase activity (GO:0008115)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
melanocortin receptor binding (GO:0031779)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
peptide-methionine (S)-S-oxide reductase activity (GO:0008113)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
nicotinamide N-methyltransferase activity (GO:0008112)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
type 1 melanin-concentrating hormone receptor binding (GO:0031777)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
glutamate-cysteine ligase regulator activity (GO:1990609)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
alpha-methylacyl-CoA racemase activity (GO:0008111)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
melanin-concentrating hormone receptor binding (GO:0031776)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
lutropin-choriogonadotropic hormone receptor binding (GO:0031775)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
leukotriene receptor binding (GO:0031774)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
kisspeptin receptor binding (GO:0031773)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
type 2 orexin receptor binding (GO:0031772)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
type 1 orexin receptor binding (GO:0031771)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
growth hormone-releasing hormone receptor binding (GO:0031770)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
calcidiol binding (GO:1902118)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity (GO:0008109)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
UDP-glucose:hexose-1-phosphate uridylyltransferase activity (GO:0008108)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
galactoside 2-alpha-L-fucosyltransferase activity (GO:0008107)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
glucagon receptor binding (GO:0031769)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
ghrelin receptor binding (GO:0031768)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
gastric inhibitory polypeptide receptor binding (GO:0031767)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
follicle-stimulating hormone receptor binding (GO:0031762)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity (GO:0043716)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity (GO:0043715)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
oligosaccharide binding (GO:0070492)	19	0	1.23	-	 < 0.01	6.31E-01	1.00E00
endogalactosaminidase activity (GO:0033931)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
Edg-2 lysophosphatidic acid receptor binding (GO:0031755)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
endothelial differentiation G protein-coupled receptor binding (GO:0031753)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
D5 dopamine receptor binding (GO:0031752)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
D4 dopamine receptor binding (GO:0031751)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
D3 dopamine receptor binding (GO:0031750)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity (GO:0033925)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
type B gastrin/cholecystokinin receptor binding (GO:0031741)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
glucan 1,3-alpha-glucosidase activity (GO:0033919)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
cholecystokinin receptor binding (GO:0031739)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
CX3C chemokine receptor binding (GO:0031737)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
CCR10 chemokine receptor binding (GO:0031735)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
photoreceptor activity (GO:0009881)	12	0	.78	-	 < 0.01	1.00E00	1.00E00
endoribonuclease inhibitor activity (GO:0060698)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
CCR7 chemokine receptor binding (GO:0031732)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
CCR6 chemokine receptor binding (GO:0031731)	22	0	1.42	-	 < 0.01	3.97E-01	1.00E00
CCR5 chemokine receptor binding (GO:0031730)	8	0	.52	-	 < 0.01	1.00E00	1.00E00
estrogen 2-hydroxylase activity (GO:0101021)	10	0	.65	-	 < 0.01	1.00E00	1.00E00
hyaluronoglucuronidase activity (GO:0033906)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
estrogen 16-alpha-hydroxylase activity (GO:0101020)	17	0	1.10	-	 < 0.01	6.23E-01	1.00E00
tubulin-dependent ATPase activity (GO:0070463)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
CCR4 chemokine receptor binding (GO:0031729)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
CCR2 chemokine receptor binding (GO:0031727)	8	0	.52	-	 < 0.01	1.00E00	1.00E00
CCR1 chemokine receptor binding (GO:0031726)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
CXCR5 chemokine receptor binding (GO:0031724)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
CXCR4 chemokine receptor binding (GO:0031723)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
porin activity (GO:0015288)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
calcitonin receptor binding (GO:0031716)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
fructose uniporter activity (GO:0015284)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
C5L2 anaphylatoxin chemotactic receptor binding (GO:0031715)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
C5a anaphylatoxin chemotactic receptor binding (GO:0031714)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
B2 bradykinin receptor binding (GO:0031713)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
bradykinin receptor binding (GO:0031711)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
neuromedin B receptor binding (GO:0031710)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
protein histidine phosphatase activity (GO:0101006)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
kainate selective glutamate receptor activity (GO:0015277)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
endothelin B receptor binding (GO:0031708)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
endothelin A receptor binding (GO:0031707)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
stretch-activated, monoatomic cation-selective, calcium channel activity (GO:0015275)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
bombesin receptor binding (GO:0031705)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
apelin receptor binding (GO:0031704)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
ATP-activated inward rectifier potassium channel activity (GO:0015272)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
type 2 angiotensin receptor binding (GO:0031703)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
type 1 angiotensin receptor binding (GO:0031702)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
angiotensin receptor binding (GO:0031701)	10	0	.65	-	 < 0.01	1.00E00	1.00E00
adrenomedullin receptor binding (GO:0031700)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
androgen binding (GO:0005497)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
urea channel activity (GO:0015265)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
methylammonium channel activity (GO:0015264)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle B binding (GO:0120170)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
soluble NSF attachment protein activity (GO:0005483)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
glycerol channel activity (GO:0015254)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle A binding (GO:0120160)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
ATP:ADP antiporter activity (GO:0005471)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
aminophospholipid flippase activity (GO:0015247)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
calcium-dependent carbohydrate binding (GO:0120153)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
calcium-dependent outer dynein arm binding (GO:0120152)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
UDP-xylose transmembrane transporter activity (GO:0005464)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylgalactosamine transmembrane transporter activity (GO:0005463)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine transmembrane transporter activity (GO:0005462)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
UDP-glucuronic acid transmembrane transporter activity (GO:0005461)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
sphingolipid C4-monooxygenase activity (GO:0102772)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
NAD+ binding (GO:0070403)	16	0	1.03	-	 < 0.01	6.20E-01	1.00E00
NADP+ binding (GO:0070401)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
thiamine transmembrane transporter activity (GO:0015234)	8	0	.52	-	 < 0.01	1.00E00	1.00E00
zf-TRAF domain binding (GO:0044198)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
pantothenate transmembrane transporter activity (GO:0015233)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
formylglycine-generating oxidase activity (GO:0120147)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
FAD transmembrane transporter activity (GO:0015230)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
UDP-galactose transmembrane transporter activity (GO:0005459)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
GDP-mannose transmembrane transporter activity (GO:0005458)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GDP-fucose transmembrane transporter activity (GO:0005457)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
CMP-N-acetylneuraminate transmembrane transporter activity (GO:0005456)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
TFIIH-class transcription factor complex binding (GO:0001097)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
TFIIF-class transcription factor complex binding (GO:0001096)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
L-ascorbic acid transmembrane transporter activity (GO:0015229)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
acyl carnitine transmembrane transporter activity (GO:0015227)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
carnitine transmembrane transporter activity (GO:0015226)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
very-long-chain enoyl-CoA reductase activity (GO:0102758)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
pyruvate transmembrane transporter activity (GO:0050833)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
NADPH phosphatase activity (GO:0102757)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
